 INFO 2019-03-19T12:13:15,932 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:15,944 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:13:16,045 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:13:16,045 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:16,045 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:13:16,145 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:13:16,145 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:16,145 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:13:16,245 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:13:16,245 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:16,245 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:13:16,345 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:13:16,345 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:16,345 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:13:16,445 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:13:16,445 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:16,445 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:13:16,545 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:13:16,546 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:16,546 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:13:16,646 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:13:16,646 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:16,646 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:13:16,746 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:13:16,746 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:13:16,746 [main][[]] rohit.B.ClazzB - ClazzB do
